title,average_rating,language_code,  num_pages,ratings_count,text_reviews_count,publisher,Bookauthor_no,Bookauthor_Main,Bookauthor_Co1,Bookauthor_Co2,Age_years,title_nwords
Hokkaido Highway Blues: Hitchhiking Japan,4.0,eng,344,2837,195,Canongate Books,1,Will Ferguson,0,0,17,5
Bone In The Throat,3.39,eng,290,30,4,Canongate Books,1,Anthony Bourdain,0,0,18,4
Gone Bamboo,3.48,eng,286,1066,74,Canongate Books,1,Anthony Bourdain,0,0,18,2
The Crimson Petal and the White,3.89,eng,835,27961,2183,Canongate Books,1,Michel Faber,0,0,17,6
Adios Hemingway,3.72,eng,229,659,85,Canongate U.S.,2,Leonardo Padura,John King,0,14,2
Weight: The Myth of Atlas and Heracles,3.77,eng,151,4326,392,Canongate U.S.,1,Jeanette Winterson,0,0,15,7
The Penelopiad,3.7,eng,198,29315,2631,Canongate U.S.,2,Margaret Atwood,Laurel Merlington,0,15,2
The Girlhood Diary of Louisa May Alcott  1843-1846: Writings of a Young Author,3.91,eng,32,29,0,Capstone Press,2,Louisa May Alcott,Kerry A. Graves,0,20,14
Dr. Seuss (First Biographies),4.33,eng,24,14,1,Capstone Press,1,Cheryl Carlson,0,0,15,4
Doyle Brunson's Super System,3.94,eng,605,2080,73,Cardoza,6,Doyle Brunson,Mike Caro,David  Reese,18,4
Over 100 Truly Astonishing Sex Tips,3.44,eng,128,9,0,Carlton Publishing Group,1,Anna Maxted,0,0,20,6
Seven Men and Two Others,3.88,eng,288,58,8,Carlton Publishing Group,1,Max Beerbohm,0,0,19,5
The Mystery in the Rocky Mountains,3.73,eng,145,34,6,Carole Marsh Mysteries,1,Carole Marsh,0,0,19,6
The Mystery on the Mighty Mississippi,3.5,eng,142,26,1,Carole Marsh Mysteries,1,Carole Marsh,0,0,19,6
The Burnt Orange Heresy,3.9,eng,144,564,49,Carroll & Graf,1,Charles Willeford,0,0,21,4
The Boys of Everest: Chris Bonington and the Tragedy of Climbing's Greatest Generation,3.86,eng,535,452,36,Carroll & Graf Publishers,1,Clint Willis,0,0,14,13
A Kiss Before Dying,3.94,eng,242,6548,556,Carroll & Graf Publishers,2,Ira Levin,Otto Penzler,0,17,4
Rape: A Love Story,3.57,eng,128,114,24,Carroll & Graf Publishers,1,Joyce Carol Oates,0,0,17,4
Rape: A Love Story,3.57,eng,154,3604,364,Carroll & Graf Publishers,1,Joyce Carol Oates,0,0,16,4
Marcel Proust: On Art and Literature 1896-1919,4.06,eng,416,73,5,Carroll & Graf Publishers,2,Marcel Proust,Sylvia Townsend Warner,0,23,7
Doisneau,4.36,eng,128,4,0,Cartago,3,Peter Hamilton,Robert Doisneau,David    Elliott,20,1
The Treasure Hunt: A Little Bill Book,3.34,eng,40,364,18,Cartwheel,2,Bill Cosby,Varnette P. Honeywood,0,23,7
The Meanest Thing To Say,3.54,eng,40,990,55,Cartwheel,3,Bill Cosby,Varnette P. Honeywood,Varnette Hon Eywood,23,5
The Best Way to Play: A Little Bill Book,3.49,eng,40,405,17,Cartwheel,3,Bill Cosby,Varnette P. Honeywood,Varnette Honeywood,23,9
Peek-a-Boo! (Ba,3.69,eng,12,111,11,Cartwheel,1,Roberta Grobel Intrater,0,0,23,2
The Treasured Writings of Kahlil Gibran,4.42,eng,902,1432,45,Castle Books,1,Kahlil Gibran,0,0,11,6
The Origin of Species,3.98,eng,703,78431,1355,Castle Books,1,Charles Darwin,0,0,16,4
Complete Tales and Poems,4.38,eng,864,1864,110,Castle Books,1,Edgar Allan Poe,0,0,11,4
Confessions of Saint Augustine (Paraclete Living Library),3.92,eng,448,13,4,Catholic Book Publishing,2,Augustine of Hippo,J.M. Lelen,0,23,7
The Star-Spangled Banner (Symbols of America),4.0,eng,40,1,0,Cavendish Square Publishing,1,Debra Hess,0,0,17,6
The Liberty Bell (Symbols of America),3.83,eng,40,4,0,Cavendish Square Publishing,1,Debra Hess,0,0,17,6
The Statue of Liberty (Symbols of America),4.0,eng,40,1,0,Cavendish Square Publishing,1,Debra Hess,0,0,17,7
The White House (Symbols of America),4.0,eng,40,3,2,Cavendish Square Publishing,1,Debra Hess,0,0,16,6
The American Flag (Symbols of America),4.0,eng,39,3,0,Cavendish Square Publishing,1,Debra Hess,0,0,16,6
Heart & Hands: A Midwife's Guide to Pregnancy & Birth,4.37,eng,312,875,43,Celestial Arts,2,Elizabeth  Davis,Suzanne Arms,0,16,10
Guide to Stress Reduction,4.22,eng,326,9,1,Celestial Arts,1,L. John Mason,0,0,19,4
Wild Things: Four Tales,3.58,eng,97,67,8,Cemetery Dance Publications,1,Douglas Clegg,0,0,14,4
The Illustrated Stephen King Trivia Book,4.23,eng,404,22,5,Cemetery Dance Publications,3,Brian James Freeman,Bev Vincent,Glenn Chadbourne,15,6
The Secretary of Dreams  Volume One,4.47,eng,281,291,7,Cemetery Dance Publications,2,Stephen King,Glenn Chadbourne,0,14,7
Prodigal Blues,4.25,eng,304,221,28,Cemetery Dance Publications,2,Gary A. Braunbeck,Deena Warner,0,14,2
Purity (Dark Coming of Age  #1),3.79,eng,118,99,12,Cemetery Dance Publications,1,Douglas Clegg,0,0,20,7
$30 Film School: How to Write  Direct  Produce  Shoot  Edit  Distribute  Tour With  and Sell Your Own No-Budget Digital Movie,3.49,eng,528,30,4,Cengage Learning,1,Michael W. Dean,0,0,17,27
The Riverside Milton,4.26,eng,1248,772,19,Cengage Learning,2,John Milton,Roy C. Flannagan,0,22,3
The Earth and Its Peoples: Volume II,4.07,eng,34,9,0,Cengage Learning,7,Richard W. Bulliet,Daniel R. Headrick,David Northrup,15,7
The Earth and Its Peoples: A Global History  Volume C: Since 1750,2.0,eng,370,1,1,Cengage Learning,3,Richard W. Bulliet,Pamela Kyle Crossley,Steven Hirsch,16,13
Logic and Philosophy: A Modern Introduction,3.78,eng,525,9,0,Cengage Learning,2,Alan Hausman,Paul Tidman,0,14,6
Illustrated Guide to the NEC: Based on the 2005 National Electric Code,4.06,eng,452,2,0,Cengage Learning,1,Charles R. Miller,0,0,16,12
Act of Treason (Mitch Rapp  #9),4.29,eng,462,10,1,Center Point,1,Vince Flynn,0,0,13,7
Inside the Red Tent,3.96,eng,100,181,16,Chalice Press,1,Sandra Hack Polaski,0,0,14,4
The Wolf Shall Dwell With the Lamb: A Spirituality for Leadership in a Multicultural Community,3.77,eng,144,115,21,Chalice Press,1,Eric H.F. Law,0,0,27,15
Algernon  Charlie  and I: A Writer's Journey: Plus the Complete Original Short Novelette Version of Flowers for Algernon,4.06,eng,223,15,3,Challenge Press  Inc./Challcrest Press,1,Daniel Keyes,0,0,16,20
A Changeling for All Seasons (Changeling Seasons #1),3.76,eng,304,167,4,Changeling Press,9,Angela Knight,Sahara Kelly,Judy Mays,15,8
H. P. Lovecraft's Dreamlands (Call of Cthulhu RPG),3.97,eng,260,98,2,Chaosium,2,Chris  Williams,Sandy Petersen,0,12,8
Call of Cthulhu: Horror Roleplaying (Call of Cthulhu RPG),4.45,eng,320,7011,39,Chaosium,2,Sandy Petersen,Lynn Willis,0,15,9
The Keeper's Companion 2: Prohibition  Firearms  Tomes  & Creatures (Call of Cthulhu RPG),3.71,eng,170,41,1,Chaosium,9,Lynn Willis,Brian M. Sammons,Adam Gauntlett,18,16
Secrets of New York (Call of Cthulhu RPG),3.63,eng,180,27,2,Chaosium,1,William    Jones,0,0,15,8
The Keeper's Companion Vol. 1 (Call of Cthulhu RPG),3.92,eng,208,65,1,Chaosium,4,Keith Herber,Brian M. Sammons,William Dietze,17,9
Secrets of San Francisco: A 1920s Sourcebook for the City,3.86,eng,189,18,0,Chaosium,1,Cody Goodfellow,0,0,14,10
Miskatonic University: Dire Secrets & Campus Life (Call of Cthulhu RPG),4.12,eng,242,38,0,Chaosium,2,Sam Johnson,Sandy Antunes,0,15,11
Call of Cthulhu: Horror Roleplaying (Call of Cthulhu RPG),4.45,eng,288,34,1,Chaosium,2,Sandy Petersen,Lynn Willis,0,20,9
Shadows of Yog-Sothoth (Call of Cthulhu RPG),3.9,eng,180,63,2,Chaosium,1,Sandy Petersen,0,0,16,7
Song of Cthulhu: Tales of the Spheres Beyond Sound,3.67,eng,211,45,4,Chaosium,10,Stephen Mark Rainey,H.P. Lovecraft,Ramsey Campbell,15,9
The Azathoth Cycle: Tales of the Blind Idiot God,3.75,eng,260,124,6,Chaosium,15,Robert M. Price,Edward Pickman Derby,Peter Cannon,25,9
Spawn of Azathoth: Herald of the End of Time (Call of Cthulhu RPG),3.79,eng,197,22,1,Chaosium,1,Keith Herber,0,0,15,13
Dostoevsky  Kierkegaard  Nietzsche and Kafka,3.57,eng,192,78,10,Charles Scribner's Sons,1,William Hubben,0,0,23,7
Mosquito Bite,3.51,eng,32,72,19,Charlesbridge,2,Alexandra Siy,Dennis Kunkel,0,14,2
Pride and Prejudice,4.26,eng,533,18,5,Charnwood,1,Jane Austen,0,0,36,3
Winchester Shotguns,5.0,eng,372,2,0,Chartwell Books,2,Dennis Adler,R.L. Wilson,0,12,2
Forever Summer,4.0,eng,279,4230,43,Chatto  Windus,1,Nigella Lawson,0,0,15,2
The Middle Sea: A History of the Mediterranean,3.85,eng,588,662,53,Chatto & Windus,1,John Julius Norwich,0,0,14,8
Memoirs of a Geisha,4.11,eng,452,57,8,Chatto & Windus,1,Arthur Golden,0,0,20,4
The Risk of Darkness (Simon Serrailler  #3),3.95,eng,320,3060,264,Chatto & Windus,1,Susan Hill,0,0,14,8
Remembrance of Things Past (Boxed Set),4.34,eng,3400,6,1,Chatto & Windus,4,Marcel Proust,C.K. Scott Moncrieff,Frederick A. Blossom,39,6
Seven Types of Ambiguity,3.85,eng,272,7,0,Chatto and Windus,1,William Empson,0,0,71,4
Swanns Way (In Search of Lost Time #1),4.14,eng,534,19,1,Chatto and Windus,1,Marcel Proust,0,0,28,8
Edgar Allan Poe A to Z,4.33,eng,320,8,0,Checkmark Books,1,Dawn B. Sova,0,0,19,6
Kurt Vonnegut's Cat's Cradle (Modern Critical Interpretations),4.35,eng,258,28254,196,Chelsea House Publications,15,Harold Bloom,Terry Southern,David H. Goldsmith,18,7
J.D. Salinger's Catcher in the Rye (Modern Critical Interpretations),3.58,eng,176,18,2,Chelsea House Publications,1,Harold Bloom,0,0,20,9
Kurt Vonnegut's Cat's Cradle (Modern Critical Interpretations),4.35,eng,258,14,2,Chelsea House Publications,15,Harold Bloom,Terry Southern,David H. Goldsmith,18,7
Harper Lee's To Kill a Mockingbird (Bloom's Guides),4.41,eng,98,4687,19,Chelsea House Publications,2,Harold Bloom,Harper Lee,0,16,8
Cormac McCarthy's All the Pretty Horses,4.09,eng,126,180,10,Chelsea House Publications,2,Harold Bloom,Amy Sickels,0,17,6
Ray Bradbury's Fahrenheit 451,4.18,eng,147,991,52,Chelsea House Publications,1,Harold Bloom,0,0,19,4
Sarah Bernhardt,4.25,eng,136,4,0,Chelsea House Publishers,2,Elizabeth Silverthorne,Betty McCollum,0,16,2
Molly Hatchet - 5 of the Best,4.33,eng,56,6,0,Cherry Lane Music Company,1,Molly Hatchet,0,0,17,7
The Day the Country Died: A History of Anarcho-Punk  1980-1984,3.99,eng,375,206,16,Cherry Red Books,1,Ian Glasper,0,0,13,11
Women  Cats: The History of a Love Affair,4.23,eng,66,13,1,Chicago Review Press,2,Michelle Lovric,Lisa Pentreath,0,17,9
Nine Coaches Waiting,4.03,eng,342,10640,905,Chicago Review Press,2,Mary  Stewart,Sandra Brown,0,14,3
James Dean: The Mutant King: A Biography,4.07,eng,384,491,29,Chicago Review Press,1,David Dalton,0,0,19,7
Katherine,4.19,eng,500,25552,1637,Chicago Review Press,2,Anya Seton,Philippa Gregory,0,16,1
Discovering Great Artists: Hands-On Art for Children in the Styles of the Great Masters,4.24,eng,144,400,29,Chicago Review Press,3,MaryAnn F. Kohl,Kim Solga,Rebecca Van Slyke,23,14
Ghosthunters and the Muddy Monster of Doom! (Ghosthunters  #4),3.93,eng,176,534,32,Chicken House,2,Cornelia Funke,Helena Ragg-Kirkby,0,13,10
When Santa Fell to Earth,3.76,eng,167,1840,245,Chicken House / Scholastic,3,Cornelia Funke,Paul   Howard,Oliver G. Latsch,14,5
The Secret Garden,4.13,eng,331,764134,11796,Children's Classics,1,Frances Hodgson Burnett,0,0,22,3
Latitude and Longitude (Rookie Read-About Geography),3.53,eng,32,1,0,Children's Press(CT),2,Rebecca Aberg,Jeanne Clidas,0,17,6
Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,4.46,eng,192,860,53,Chosen Books,2,Heidi Baker,Rolland Baker,0,17,11
Meeting God at Every Turn,4.36,eng,256,213,13,Chosen Books,1,Catherine Marshall,0,0,18,5
Summa Theologica  5 Vols,4.12,eng,3020,2734,84,Christian Classics,1,Thomas Aquinas,0,0,39,5
On Vital Reserves,4.5,eng,58,3,1,Christian Classics,2,William  James,Stephen Vicchio,0,32,3
Chicago Stories: Tales of the City,3.6,eng,224,49,9,Chronicle Books,2,John  Miller,Stuart Dybek,0,17,6
Edie: Girl on Fire,4.22,eng,192,727,19,Chronicle Books,2,David Weisman,Melissa Painter,0,14,4
Bird Songs: Of North America,4.48,eng,368,273,30,Chronicle Books,2,Les Beletsky,Jon L. Dunn,0,14,5
Vincent's Colors,4.16,eng,48,329,49,Chronicle Books,3,Vincent van Gogh,Metropolitan Museum of Art,William Lach,15,2
The Halloween Activity Book: Creepy  Crawly  Hairy  Scary Things to Do,2.0,eng,32,1,1,Chronicle Books,2,Mymi Doinet,Benjamin Chaud,0,18,14
The Star Wars Cookbook II: Darth Malt and More Galactic Recipes,3.86,eng,60,205,15,Chronicle Books,2,Wesley Martin,Frankie Frankeny,0,20,11
The Star Wars Poster Book,4.5,eng,320,60,2,Chronicle Books,2,Stephen J. Sansweet,Peter Vilmur,0,15,5
Wookiee Cookies: A Star Wars Cookbook,3.93,eng,132,952,57,Chronicle Books,2,Robin  Davis,Frankie Frankeny,0,22,6
The Wildlife of Star Wars,4.42,eng,173,417,27,Chronicle Books,2,Terryl Whitlatch,Bob Carrau,0,19,5
Stylepedia: A Guide to Graphic Design Mannerisms  Quirks  and Conceits,4.06,eng,336,170,9,Chronicle Books,2,Steven Heller,Louise Fili,0,14,12
Anesthesiology Review,3.67,eng,595,12,0,Churchill Livingstone,6,Ronald J. Faust,Roy F. Cucchiara,Denise J. Wedel,19,2
Through a Brazen Mirror,3.37,eng,100,116,12,Circlet Press,3,Delia Sherman,Cortney Skinner,Ellen Kushner,5,4
Gertrud The Great Of Helfta: Spiritual Exercises,3.43,eng,165,7,1,Cistercian Publications,2,Gertrude the Great,Gertrud Jaron Lewis,0,31,7
Ru,4.12,eng,240,50,5,Citadel,1,Ruby Ann Boxcar,0,0,15,1
Ru,4.08,eng,206,13,2,Citadel,1,Ruby Ann Boxcar,0,0,15,1
The Broken Wings,3.92,eng,132,6432,517,Citadel,3,Kahlil Gibran,جبران خليل جبران,Anthony Rizcallah Ferris,17,3
Wizard: The Life and Times of Nikola Tesla: Biography of a Genius,3.78,eng,542,2829,334,Citadel,2,Marc J.  Seifer,William H. Terbo,0,19,12
I Hope They Serve Beer in Hell (Tucker Max  #1),3.51,eng,288,49042,4140,Citadel,1,Tucker Max,0,0,14,11
The Philip K. Dick Reader,4.28,eng,422,2760,158,Citadel,1,Philip K. Dick,0,0,19,5
The Collected Stories of Philip K. Dick 3: Second Variety,4.26,eng,414,3135,75,Citadel,2,Philip K. Dick,John Brunner,0,18,10
The Complete Films Of Alfred Hitchcock,4.0,eng,256,18,0,Citadel,2,Robert A. Harris,Michael S. Lasky,0,18,6
The Ethics of Ambiguity,4.15,eng,162,4114,153,Citadel,2,Simone de Beauvoir,Bernard Frechtman,0,20,4
The Minority Report: 18 Classic Stories,4.19,eng,380,456,40,Citadel,2,Philip K. Dick,James Tiptree Jr.,0,18,6
Existentialism and Human Emotions,3.84,eng,96,4190,147,Citadel,1,Jean-Paul Sartre,0,0,20,4
Real Ultimate Power: The Official Ninja Book,4.0,eng,193,997,117,Citadel,1,Robert  Hamburger,0,0,16,7
The Collected Short Stories of Maxim Gorky,3.96,eng,404,883,16,Citadel Press,3,Maxim Gorky,Avrahm Yarmolinsky,Moura Budberg,32,7
The Minority Report (Collected Stories of Philip K. Dick),4.19,eng,396,20,0,Citadel Press,1,Philip K. Dick,0,0,20,9
The Parrot-Head Companion: An Insider's Guide to Jimmy Buffett,2.83,eng,176,6,0,Citadel Press,1,Thomas Ryan,0,0,22,9
Howl and Other Poems,4.13,eng,56,85143,1284,City Lights,2,Allen Ginsberg,William Carlos Williams,0,19,4
The Essential Neruda: Selected Poems,4.46,eng,200,5149,210,City Lights Publishers,10,Pablo Neruda,Mark Eisner,Lawrence Ferlinghetti,16,5
A Hundred Camels in the Courtyard,3.98,eng,90,313,23,City Lights Publishers,1,Paul Bowles,0,0,19,6
Book of Dreams,3.44,eng,250,924,25,City Lights Publishers,2,Jack Kerouac,Robert Creeley,0,19,3
A Power Governments Cannot Suppress,4.27,eng,293,873,78,City Lights Publishers,1,Howard Zinn,0,0,14,5
Erotism: Death and Sensuality,4.11,eng,288,1818,55,City Lights Publishers,2,Georges Bataille,Mary Dalwood,0,19,4
Tales of Ordinary Madness,3.92,eng,238,16544,431,City Lights Publishers,1,Charles Bukowski,0,0,19,4
Shattered Bonds: The Color of Child Welfare,4.19,eng,352,153,10,Civitas Books,1,Dorothy Roberts,0,0,18,7
Theogonia  Opera et Dies  Scutum  Fragmenta Selecta (Classical Texts),4.06,eng,282,9,1,Clarendon Press,3,Hesiod,Friedrich Solmsen,Reinholdo Merkelbach,30,12
Bread and Roses  Too,3.76,eng,275,2018,294,Clarion Books,1,Katherine Paterson,0,0,14,5
Hear the Wind Blow,4.07,eng,224,266,45,Clarion Books,1,Mary Downing Hahn,0,0,17,4
The Dream Stealer,3.64,eng,132,433,56,Clarion Books,2,Gregory Maguire,Diana Bryan,0,18,3
Sector 7,4.21,eng,48,5066,523,Clarion Books,1,David Wiesner,0,0,21,2
The Turtle and the Monkey,3.74,eng,32,58,6,Clarion Books,2,Paul Galdone,Joanna Galdone,0,30,5
Dalit: The Black Untaouchables of India,4.2,eng,100,10,0,Clarity Press,2,V.T. Rajshekar,Y.N. Kly,0,25,6
Giada's Family Dinners,3.96,eng,256,14103,74,Clarkson Potter,2,Giada De Laurentiis,Victoria Pearson,0,14,3
Everyday Italian: 125 Simple and Delicious Recipes,3.95,eng,256,40125,217,Clarkson Potter,1,Giada De Laurentiis,0,0,15,7
Everyday Pasta,4.09,eng,240,8822,55,Clarkson Potter,2,Giada De Laurentiis,Victoria Pearson,0,13,2
Tyler's Ultimate: Brilliant Simple Food to Make Any Time,4.09,eng,256,3697,34,Clarkson Potter,2,Tyler Florence,Petrina Tinslay,0,14,9
The Barefoot Contessa Cookbook,4.15,eng,256,28789,177,Clarkson Potter,2,Ina Garten,Melanie Acevedo,0,21,4
Small Bites  Big Nights: Seductive Little Plates for Intimate Occasions and Lavish Parties,3.6,eng,256,20,3,Clarkson Potter,3,Govind Armstrong,Lisa Romerein,Tyler Florence,13,14
Tyler Florence's Real Kitchen: An Indespensible Guide for Anybody Who Likes to Cook,4.06,eng,304,1426,16,Clarkson Potter Publishers,4,Tyler Florence,JoAnn Cianciulli,Bill Bettencourt,17,13
Eat This Book: Cooking with Global Fresh Flavors,3.92,eng,287,275,15,Clarkson Potter Publishers,2,Tyler Florence,Petrina Tinslay,0,16,8
Gale Gand's Short + Sweet : Quick Desserts with Eight Ingredients or Less,3.71,eng,160,24,4,Clarkson Potter/Publishers,3,Gale Gand,Julia Moskin,Tim Turner,16,13
Indiscretions of Archie,3.87,eng,215,693,78,Classic Books,1,P.G. Wodehouse,0,0,20,3
The Ultimate Guide to Anal Sex for Women,4.11,eng,180,382,26,Cleis Press,1,Tristan Taormino,0,0,14,8
Tristan Taormino's True Lust,3.97,eng,200,72,6,Cleis Press,1,Tristan Taormino,0,0,18,4
Black Like Us: A Century of Lesbian  Gay  and Bisexual African American Fiction,4.33,eng,600,127,16,Cleis Press,4,Devon W. Carbado,Evelyn C. White,Dwight A. McBride,18,15
The Letters of Vita Sackville-West and Virginia Woolf,4.27,eng,480,1133,37,Cleis Press,4,Louise DeSalvo,Mitchell Alexander Leaska,Vita Sackville-West,16,8
CliffsNotes on Tolstoy's Anna Karenina,3.85,eng,80,16,3,Cliffs Notes,2,Marianne Sturman,Leo Tolstoy,0,55,5
Golding's Lord of the Flies (Cliffs Notes),3.95,eng,112,73,8,Cliffs Notes,3,Maureen Kelly,CliffsNotes,William Golding,20,7
Shakespeare's Hamlet,4.02,eng,240,102,16,Cliffs Notes,2,William Shakespeare,Terri Mategrano,0,20,2
CliffsNotes on Euripides' Medea and Electra,4.2,eng,69,5,0,Cliffs Notes,1,Robert J. Milch,0,0,55,6
Cliffs Notes on Aristophanes' Lysistrata  The Birds  The Clouds  The Frogs,2.8,eng,80,5,0,Cliffs Notes,1,W. John Campbell,0,0,37,14
O'Brien's the Things They Carried,3.69,eng,128,24,2,Cliffs Notes,2,Jill Colella,CliffsNotes,0,20,5
Cliffs Notes on Cervantes' Don Quixote,3.61,eng,96,21,2,Cliffs Notes,1,Marianne Sturman,0,0,56,6
CliffsNotes on Steinbeck's The Grapes of Wrath,3.81,eng,112,30,5,Cliffs Notes,3,Kelly McGrath Vlcek,CliffsNotes,John Steinbeck,20,7
CliffsNotes on Heller's Catch-22,3.55,eng,48,37,1,Cliffs Notes,3,Charles A. Peek,CliffsNotes,Joseph Heller,45,4
Cliffs Notes on Fitzgerald's the Great Gats,3.7,eng,96,78,13,Cliffs Notes,3,Kate Maurer,F. Scott Fitzgerald,CliffsNotes,20,7
Cliffs notes on Warren's All the King's Men,3.45,eng,80,3,1,Cliffs Notes,1,L. David Allen,0,0,56,8
William Shakespeare's A Midsummer Night's Dream (Cliffs Complete),3.89,eng,192,38,3,Cliffs Notes,2,CliffsNotes,Michael McMahon,0,19,8
Cliffsnotes on Dostoevsky's Crime and Punishment,3.72,eng,128,30,0,Cliffs Notes,3,James Lamar Roberts,Fyodor Dostoyevsky,CliffsNotes,20,6
Cliffsnotes on Beckett's Waiting for Godot and Other Plays,3.67,eng,72,3,0,Cliffs Notes,2,James Lamar Roberts,Jeffrey Fisher,0,40,9
Kesey's One Flew Over the Cuckoo's Nest (Cliffs Notes),4.17,eng,112,22,3,Cliffs Notes,3,Bruce Edward Walker,Ken Kesey,CliffsNotes,20,9
Nathaniel Hawthorne's The Scarlet Letter,3.4,eng,240,10,0,Cliffs Notes,2,Nathaniel Hawthorne,Karin Jacobson,0,19,5
Cliffs Notes on Wiesel's Night,3.4,eng,80,5,1,Cliffs Notes,1,Maryam Riess,0,0,24,5
CliffsNotes on Faulkner's As I Lay Dying (Cliffs Notes),3.73,eng,72,10,3,Cliffs Notes,3,James Lamar Roberts,William Faulkner,CliffsNotes,56,9
CliffsNotes on Faulkner's Absalom  Absalom!,3.12,eng,64,8,1,Cliffs Notes,2,James Lamar Roberts,CliffsNotes,0,56,6
Cliffsnotes on Shakespeare's Henry IV  Part 1,3.88,eng,80,17,0,Cliffs Notes,3,James K. Lowers,William Shakespeare,CliffsNotes,60,8
Cliffs Notes on Woolf's Mrs. Dalloway,3.09,eng,72,10,2,Cliffs Notes,1,Gary K. Carey,0,0,17,6
Cliffs Notes on Frank's The Diary of Anne Frank,4.32,eng,64,70,1,Cliffs Notes,3,Dorothea Shefer-Vanson,CliffsNotes,Anne Frank,36,9
Cliffs Notes on Voltaire's Candide,3.4,eng,80,9,3,Cliffs Notes,3,James K. Lowers,CliffsNotes,Voltaire,55,5
Cliffs Notes on Wright's Black Boy,3.75,eng,56,3,0,Cliffs Notes,3,Carl Senna,CliffsNotes,Richard Wright,49,6
CliffsNotes on Joyce's Dubliners (Cliffs Notes),3.4,eng,80,5,2,Cliffs Notes,2,Adam  Sexton,G. Tubach,0,17,6
Mary Shelley‘s Frankenstein,3.79,eng,240,147,3,Cliffs Notes,2,Mary Wollstonecraft Shelley,Anca Munteanu,0,19,3
Cliffsnotes on Eliot's Middlemarch,4.14,eng,109,7,2,Cliffs Notes,3,Brian Johnston,George Eliot,CliffsNotes,53,4
Cliffs Notes on Billy Budd & Typee,3.5,eng,80,3,0,Cliffs Notes,1,Mary Ellen Snodgrass,0,0,17,7
Cliffs Notes on Hemingway's The Sun Also Rises,3.5,eng,80,14,2,Cliffs Notes,1,Gary K. Carey,0,0,56,8
CliffsNotes on Shakespeare's Twelfth Night,4.16,eng,64,11,2,Cliffs Notes,3,James Lamar Roberts,CliffsNotes,William Shakespeare,60,5
CliffsNotes on Remarque's All Quiet on the Western Front,4.24,eng,112,12,0,Cliffs Notes,3,Susan Van Kirk,CliffsNotes,Erich Maria Remarque,20,9
Emma  Vol. 01,3.83,eng,183,3515,339,CMX,2,Kaoru Mori,森 薫,0,14,4
Through the Arc of the Rain Forest,3.9,eng,212,127,18,Coffee House Press,1,Karen Tei Yamashita,0,0,30,7
Tropic of Orange,3.55,eng,268,1749,118,Coffee House Press,1,Karen Tei Yamashita,0,0,23,3
The Sillymarillion: An Unauthorized Parody of J.R.R. Tolkien's Classic the Silmarillion,3.54,eng,192,25,6,Cold Spring Press,1,Donald  Lloyd,0,0,16,11
The Quest for Longitude: The Proceedings of the Longitude Symposium  Harvard University  Cambridge  Massachusetts  November 4-6  1993,4.5,eng,437,10,2,Collection of Historical Scientific Instruments,1,William Andrewes,0,0,24,22
Three Men in a Boat: To Say Nothing of the Dog,3.89,eng,272,52,8,Collectors Library,1,Jerome K. Jerome,0,0,15,11
Little Women,4.07,eng,327,83,9,Collector's Library,1,Louisa May Alcott,0,0,16,2
The Iliad,3.86,eng,542,64,8,Collector's Library,2,Homer,Andrew Lang,0,9,2
The Song of Rhiannon,4.02,eng,208,255,12,Collier Books,1,Evangeline Walton,0,0,28,4
Sam And The Firefly (Beginner Books),4.17,eng,64,5,0,Collins,1,P.D. Eastman,0,0,35,6
The Lord of the Rings / The Hobbit,4.59,eng,1600,141,5,Collins Modern Classics,1,J.R.R. Tolkien,0,0,18,8
Bulfinch's Mythology,4.1,eng,768,66,7,Collins Reference,2,Thomas Bulfinch,Richard P. Martin,0,29,2
Forgotten New York: Views of a Lost Metropolis,4.16,eng,384,200,20,Collins Reference,1,Kevin   Walsh,0,0,14,8
Stand,4.32,eng,96,1436,24,Columbia Pictures Pubns,1,Raynold Gideon,0,0,34,1
An Arab-Syrian Gentleman and Warrior in the Period of the Crusades: Memoirs of Usamah Ibn-Munqidh,3.95,eng,265,68,6,Columbia University Press,3,Usamah ibn Munqidh,Philip Khuri Hitti,Richard W. Bulliet,20,15
Three Plays: Involuntary Homicide / The Green Stockings / The Ghost is Here,3.91,eng,233,83,4,Columbia University Press,2,Kōbō Abe,Donald Keene,0,23,13
The Pillow Book,4.02,eng,419,3786,275,Columbia University Press,2,Sei Shōnagon,Ivan Morris,0,29,3
The Poetry of Sylvia Plath,4.25,eng,202,27,0,Columbia University Press,1,Claire Brennan,0,0,19,5
Nietzche and Philosophy,4.17,eng,256,50,1,Columbia University Press,2,Gilles Deleuze,Michael Hardt,0,14,3
Nathaniel Hawthorne: The Scarlet Letter: Essays  Articles  Reviews,3.38,eng,192,172,10,Columbia University Press,1,Elmer Kennedy-Andrews,0,0,20,10
More Than You Know: Finding Financial Wisdom in Unconventional Places,4.09,eng,268,1359,48,Columbia University Press,1,Michael J. Mauboussin,0,0,14,10
Genetics and the Origin of Species,4.14,eng,364,26,1,Columbia University Press,3,Theodosius Dobzhansky,Niles Eldredge,Stephen Jay Gould,38,6
A New History of Early English Drama,4.05,eng,579,20,1,Columbia University Press,3,John D. Cox,David Scott Kastan,Stephen Greenblatt,23,7
